conv_layers,filter_size,kernel_size,embedding_size,activation,auc,f1
1,128,3,500,leakyrelu,0.981055604475,0.961373390558
1,128,4,500,leakyrelu,0.980781358778,0.961930795386
1,128,5,750,relu,0.980676346556,0.960394736842
1,64,4,750,leakyrelu,0.98037965125,0.959814323607
1,128,5,750,leakyrelu,0.98005425119,0.963021763577
1,64,4,750,relu,0.980014599932,0.958408922932
1,128,3,1000,leakyrelu,0.979829675584,0.960820895522
1,64,5,500,relu,0.979685595212,0.957883513261
1,32,3,500,leakyrelu,0.979639847839,0.959894109861
1,128,3,500,relu,0.97962887483,0.961522992358
1,128,5,1500,leakyrelu,0.979625985802,0.961234124609
1,128,2,500,relu,0.979571915905,0.960128230815
1,128,5,500,relu,0.979562745226,0.96170212766
1,128,4,500,relu,0.979544854452,0.959989312671
1,64,3,500,relu,0.979490864069,0.96059409915
1,128,4,1000,leakyrelu,0.979406684661,0.96017699115
1,32,3,500,relu,0.979291256034,0.956277201205
1,128,2,500,leakyrelu,0.979225683031,0.958563164267
1,128,5,1000,relu,0.979203471966,0.960980457105
1,128,4,750,relu,0.979161249738,0.959198763192
1,128,3,750,relu,0.97914754673,0.958322093337
1,128,2,750,relu,0.979141954206,0.960854564756
1,128,3,750,leakyrelu,0.979139118187,0.954304365565
1,64,2,500,relu,0.979133366634,0.959681697613
1,64,4,500,relu,0.979112189258,0.956304787593
1,128,5,1500,relu,0.979064666059,0.9597319933
1,128,2,750,leakyrelu,0.979021383637,0.959614225437
1,128,2,1000,relu,0.978908791028,0.960291680477
1,64,2,750,leakyrelu,0.978874228702,0.96022238401
1,128,5,1000,leakyrelu,0.978855383753,0.961347212093
1,64,5,500,leakyrelu,0.97885050686,0.961746471442
1,128,4,750,leakyrelu,0.978788485508,0.959572643936
1,128,2,1000,leakyrelu,0.978659512901,0.9596171496
1,32,2,500,leakyrelu,0.978583576502,0.95815565032
1,128,5,500,leakyrelu,0.978513418161,0.960534144245
1,64,2,1000,relu,0.978480896708,0.956052844432
1,64,3,750,leakyrelu,0.978458553118,0.954637779282
1,128,3,1000,relu,0.978377580797,0.960650927037
1,64,5,750,relu,0.97834951216,0.959085834373
1,64,3,500,leakyrelu,0.978348849538,0.958299812282
1,32,3,1000,relu,0.978268539839,0.955879390236
1,64,3,750,relu,0.978169226161,0.958951731515
1,64,4,1000,relu,0.978117727234,0.958714987389
1,32,4,500,relu,0.978091566946,0.959341021417
1,32,4,1000,leakyrelu,0.978078738598,0.959866888519
1,64,5,1000,leakyrelu,0.978049265203,0.957935244161
1,64,2,750,relu,0.978046323165,0.958769066809
1,64,3,1000,relu,0.977942132594,0.960907944515
1,64,2,500,leakyrelu,0.97794189405,0.95223880597
1,128,4,1000,relu,0.977902322307,0.958747286006
2,128,2,500,leakyrelu,0.977862379496,0.958383353341
1,64,3,1000,leakyrelu,0.977728238444,0.959819353125
1,32,2,500,relu,0.97769855301,0.958461744607
1,32,4,750,relu,0.977557679725,0.958216899534
2,128,3,500,relu,0.977501409926,0.957804505283
1,32,5,500,relu,0.977367030329,0.956662398059
1,32,4,500,leakyrelu,0.977284626746,0.958702845797
2,128,2,500,relu,0.977275668106,0.960381608586
2,128,3,500,leakyrelu,0.97724738743,0.956677028904
3,128,2,500,leakyrelu,0.977221889763,0.956538865546
1,32,5,500,leakyrelu,0.977004841535,0.955812554315
2,128,2,750,relu,0.976928560573,0.957224969924
1,64,4,500,leakyrelu,0.976847270194,0.958552325195
3,128,2,750,relu,0.976826384371,0.954761745191
1,32,4,750,leakyrelu,0.976824423012,0.954848260548
2,128,2,1000,relu,0.976821825536,0.958485552972
1,64,4,1000,leakyrelu,0.976811197091,0.959164671455
1,64,2,1000,leakyrelu,0.976705840307,0.957495003331
3,64,2,500,relu,0.976542517413,0.956308426706
1,32,4,1000,relu,0.97653506955,0.95919441885
2,128,2,1000,leakyrelu,0.976485346448,0.95873225487
3,64,2,500,leakyrelu,0.976419614417,0.955288841994
3,128,2,1000,leakyrelu,0.976415002573,0.955131578947
1,32,5,750,relu,0.976403181409,0.956967076821
3,64,2,1000,leakyrelu,0.976401909176,0.954002026342
1,128,1,500,leakyrelu,0.976368035976,0.955901945111
2,128,1,1000,relu,0.976319187535,0.956642800318
1,64,5,1000,relu,0.976307737439,0.959978901563
3,128,1,500,relu,0.976284148122,0.956014421501
2,128,2,750,leakyrelu,0.976271054725,0.957887129624
3,32,1,500,relu,0.976267821133,0.955453149002
1,64,1,750,relu,0.976260929872,0.955126498003
1,32,3,750,leakyrelu,0.976238983855,0.956916996047
1,64,1,500,leakyrelu,0.976170044736,0.956178444532
1,32,5,750,leakyrelu,0.97604987174,0.957891949153
2,128,3,1000,relu,0.975923629133,0.958920499867
3,32,3,500,leakyrelu,0.975917453503,0.955148283905
2,128,4,500,leakyrelu,0.97590274331,0.955380577428
3,64,3,500,leakyrelu,0.97590192166,0.956371145008
1,64,1,750,leakyrelu,0.975853099724,0.955633199288
1,64,1,500,relu,0.975841941181,0.956718604341
1,64,5,750,leakyrelu,0.975831922348,0.955109465341
1,32,3,1000,leakyrelu,0.97576915886,0.955879417049
1,32,3,750,relu,0.975763566336,0.957960940086
1,32,2,1000,leakyrelu,0.975714055274,0.956323991706
3,32,2,750,leakyrelu,0.975705494207,0.955629139073
1,128,1,1000,relu,0.975639868195,0.956902848795
1,32,1,500,relu,0.975586036841,0.955487642838
3,32,1,750,leakyrelu,0.97555772966,0.95553216682
2,128,5,500,leakyrelu,0.975549433642,0.958170367915
2,128,1,500,relu,0.975502467045,0.957218180605
3,64,1,1000,relu,0.975338614054,0.953542315594
1,128,1,750,leakyrelu,0.975317542697,0.956179024716
1,32,1,750,relu,0.975292469108,0.955156353959
1,32,5,1000,relu,0.975278368527,0.956435381356
3,128,2,750,leakyrelu,0.975251519112,0.957689017569
3,64,2,1000,relu,0.975092383985,0.954319494827
1,32,1,500,leakyrelu,0.975068821172,0.955142667551
3,32,5,500,leakyrelu,0.974903351385,0.956337093563
3,64,4,500,leakyrelu,0.974879576533,0.954680780681
2,128,1,500,leakyrelu,0.974853628284,0.956255817046
1,128,1,500,relu,0.974844749158,0.957307819202
3,32,3,500,relu,0.974742917519,0.954102546872
3,64,1,750,relu,0.97472407257,0.954316763936
1,32,5,1000,leakyrelu,0.974690835486,0.956884561892
3,32,2,500,relu,0.974684103254,0.954052243804
3,128,1,750,relu,0.974640449764,0.95439846895
3,64,5,1000,leakyrelu,0.974620385592,0.951207958314
3,32,3,1000,leakyrelu,0.974615720738,0.953268521623
3,32,1,500,leakyrelu,0.974575539383,0.953390678136
1,32,2,750,relu,0.974559636472,0.955582232893
3,64,3,500,relu,0.974557012492,0.954719471947
1,64,1,1000,relu,0.974427774837,0.955122664716
3,32,4,1000,leakyrelu,0.974289101454,0.953946928681
3,32,3,750,leakyrelu,0.974287643687,0.955738033247
3,128,1,1000,leakyrelu,0.974287590678,0.953970999069
2,128,5,750,relu,0.974199409037,0.958466880342
2,128,1,750,relu,0.97418822399,0.956435381356
1,32,2,750,leakyrelu,0.974183638651,0.956510314019
3,64,5,750,leakyrelu,0.974074359148,0.954301253565
1,32,2,1000,relu,0.974017294203,0.956717108306
1,64,1,1000,leakyrelu,0.973986999158,0.953928095872
3,64,2,750,relu,0.973970142073,0.954685614694
1,128,1,1000,leakyrelu,0.97396886984,0.955511551155
3,64,3,750,leakyrelu,0.973964284501,0.950932220502
3,64,2,750,leakyrelu,0.97396166052,0.954242384625
3,64,1,500,relu,0.97393942295,0.952148050231
3,64,1,750,leakyrelu,0.973925772952,0.954216226992
1,128,1,750,relu,0.973906106352,0.954952564188
2,128,1,750,leakyrelu,0.973895027324,0.953106212425
3,128,1,750,leakyrelu,0.973805573451,0.95055092717
3,64,1,500,leakyrelu,0.973786887531,0.95314874777
3,32,4,750,relu,0.973777955396,0.951694401401
1,32,1,1000,relu,0.973692715794,0.954247500497
1,32,1,1000,leakyrelu,0.973681053659,0.952899754202
3,32,5,750,leakyrelu,0.973680974144,0.955436009829
3,64,1,1000,leakyrelu,0.973613439783,0.953419226957
3,32,1,1000,relu,0.973588843281,0.953651962396
3,32,1,1000,leakyrelu,0.973525549696,0.952201680672
3,32,3,750,relu,0.973494061933,0.953957026558
2,128,5,1000,leakyrelu,0.973441688346,0.957503674997
3,128,1,500,leakyrelu,0.973439833007,0.955119307291
2,128,1,1000,leakyrelu,0.973411711359,0.954050464807
3,128,2,1000,relu,0.973410571651,0.956036012355
3,32,4,750,leakyrelu,0.973396153012,0.95479704797
3,64,4,1000,leakyrelu,0.973372139616,0.949715370019
3,64,5,750,relu,0.973222890798,0.955387149918
3,32,2,500,leakyrelu,0.973210380508,0.953307904774
3,64,4,500,relu,0.973154958864,0.95214467585
3,64,5,500,leakyrelu,0.973014112084,0.954278551164
3,32,2,750,relu,0.972946683742,0.953902566789
1,32,1,750,leakyrelu,0.972764489394,0.95572640509
2,128,4,1000,relu,0.972750203279,0.955307635781
3,32,5,750,relu,0.972726030855,0.954506324084
3,64,4,1000,relu,0.972648477659,0.95672252276
3,32,5,1000,leakyrelu,0.972592631938,0.952457158098
3,32,3,1000,relu,0.972500342045,0.953286970214
3,64,3,1000,leakyrelu,0.972474367291,0.950804098528
3,64,4,750,leakyrelu,0.972440255547,0.954463148012
2,128,4,1000,leakyrelu,0.97241841555,0.954258779792
2,128,5,500,relu,0.972394561183,0.95719076741
3,32,1,750,relu,0.972321513813,0.953488372093
3,64,5,1000,relu,0.972155010337,0.956163107829
2,128,3,750,relu,0.972153287521,0.953143303397
2,128,3,750,leakyrelu,0.972152836939,0.957661157569
2,128,3,1000,leakyrelu,0.972116498788,0.955909694555
3,32,5,500,relu,0.972087422966,0.953087085468
2,128,5,750,leakyrelu,0.97198686356,0.956585043018
3,128,1,1000,relu,0.971823805714,0.955814261146
3,32,5,1000,relu,0.971817206006,0.952235027646
3,32,2,1000,leakyrelu,0.971808300376,0.952298812446
3,32,2,1000,relu,0.971750228247,0.949485802988
3,32,4,500,leakyrelu,0.971695840292,0.953966569382
2,128,4,500,relu,0.971667294567,0.955693691311
3,64,5,500,relu,0.971049148423,0.952008855896
2,128,4,750,leakyrelu,0.970796848743,0.957205124818
3,64,3,1000,relu,0.970436700822,0.953603812297
2,128,5,1000,relu,0.970239584243,0.953718566078
3,64,4,750,relu,0.969873949818,0.95462627593
3,32,4,500,relu,0.96941803987,0.955076192361
2,128,4,750,relu,0.968961573319,0.954943103335
3,32,4,1000,relu,0.968578260159,0.953082845298
3,64,3,750,relu,0.968328823003,0.954086317723
